City,Country,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
Qaanaaq,GL,47.37,99,69,1.43,77.48,-69.36
Kiryat Gat,IL,78.01,0,67,1.1,31.61,34.76
Okitipupa,NG,74.46,100,93,2.33,6.5,4.78
Chimoio,MZ,55.4,20,100,4.7,-19.12,33.48
Albany,US,93.0,50,54,4.36,42.6,-73.97
Faanui,PF,77.34,71,83,20.67,-16.48,-151.75
East London,ZA,59.92,0,65,7.52,-33.02,27.91
Karratha,AU,61.48,0,69,11.56,-20.74,116.85
Bystryy Istok,RU,57.34,65,89,3.83,52.37,84.39
Butaritari,KI,83.44,75,77,15.3,3.07,172.79
Kattivākkam,IN,80.6,40,88,2.24,13.22,80.32
Jalu,LY,79.99,36,46,10.74,29.03,21.55
Ushuaia,AR,28.4,0,86,8.05,-54.8,-68.3
George Town,MY,78.8,40,100,4.7,5.41,100.34
Bethel,US,87.8,1,55,12.75,41.37,-73.41
Bluff,NZ,39.0,81,83,3.0,-46.6,168.33
Carnarvon,AU,48.2,0,87,8.05,-24.87,113.63
São Filipe,CV,77.27,86,82,7.72,14.9,-24.5
Abéché,TD,78.17,86,72,19.48,13.83,20.83
Fortuna,US,70.0,20,72,13.87,40.6,-124.16
Rikitea,PF,68.68,49,65,12.3,-23.12,-134.97
Adrar,MR,96.22,33,20,6.33,20.5,-10.07
Bonavista,CA,60.31,66,76,0.58,48.65,-53.11
Zaysan,KZ,70.95,99,49,5.79,47.47,84.87
Kangaatsiaq,GL,50.88,79,62,11.43,68.31,-53.46
Manta,EC,77.0,20,73,12.75,-0.95,-80.73
Punta Arenas,CL,35.6,75,69,6.93,-53.15,-70.92
Hobart,AU,48.2,75,57,14.99,-42.88,147.33
Atuona,PF,79.57,15,74,14.83,-9.8,-139.03
Norman Wells,CA,64.4,75,63,5.82,65.28,-126.83
Bathsheba,BB,84.2,20,66,13.87,13.22,-59.52
Hilo,US,84.2,20,62,11.41,19.73,-155.09
Busselton,AU,46.99,43,77,7.2,-33.65,115.33
Massagno,CH,69.8,75,73,2.24,46.02,8.95
Cherskiy,RU,71.44,0,43,5.91,68.75,161.3
Antofagasta,CL,57.2,75,76,10.29,-23.65,-70.4
Dikson,RU,40.93,100,96,12.08,73.51,80.55
Øksfjord,NO,57.2,75,82,21.92,70.24,22.35
Ribeira Grande,PT,69.28,72,76,4.65,38.52,-28.7
Saldanha,ZA,48.2,0,87,3.36,-33.01,17.94
Vardø,NO,54.25,100,95,9.51,70.37,31.11
Dillon,US,93.0,1,55,4.7,34.42,-79.37
Pacific Grove,US,70.0,1,64,12.75,36.62,-121.92
Ryabovo,RU,62.6,26,77,4.47,59.4,31.13
Puerto Ayora,EC,71.01,96,89,5.01,-0.74,-90.35
Tuktoyaktuk,CA,46.4,75,75,5.82,69.45,-133.04
Sampit,ID,73.76,23,97,1.88,-2.53,112.95
Avarua,CK,71.6,77,88,19.46,-21.21,-159.78
Kirakira,SB,82.47,11,75,7.31,-10.45,161.92
Kapaa,US,84.99,90,74,14.99,22.08,-159.32
Hong Kong,HK,84.0,100,79,9.48,22.29,114.16
Nānākuli,US,89.6,40,49,10.29,21.39,-158.15
Gilgit,PK,73.51,6,40,0.43,35.92,74.31
Kavieng,PG,83.23,29,74,9.69,-2.57,150.8
Qaqortoq,GL,60.8,6,38,6.93,60.72,-46.03
Asău,RO,60.01,100,96,3.0,46.43,26.4
Amuntai,ID,73.38,65,96,1.43,-2.42,115.25
Port Alfred,ZA,60.24,0,71,6.98,-33.59,26.89
Kānt,IN,85.75,100,72,4.88,27.8,79.8
Mar del Plata,AR,52.0,90,100,13.87,-38.0,-57.56
Jamestown,US,75.99,20,94,10.29,42.1,-79.24
Cape Town,ZA,60.01,40,93,9.17,-33.93,18.42
Port Elizabeth,ZA,53.6,0,100,3.36,-33.92,25.57
Acajutla,SV,91.4,40,46,2.24,13.59,-89.83
Khovd,MN,63.36,19,64,0.87,48.01,91.64
Marawi,PH,75.0,88,89,4.0,8.0,124.29
Buala,SB,83.52,55,71,5.44,-8.14,159.59
Digby,CA,66.99,100,92,8.99,44.62,-65.77
Airai,TL,57.42,19,55,2.71,-8.93,125.41
Saint-Philippe,RE,64.4,40,72,4.7,-21.36,55.77
Provideniya,RU,55.4,75,66,8.95,64.38,-173.3
Kroonstad,ZA,47.03,0,39,5.91,-27.65,27.23
Codrington,AU,51.35,72,76,15.41,-38.27,141.97
Kāman,IN,87.73,99,67,8.66,27.65,77.27
Waddān,LY,77.41,0,56,16.04,29.16,16.14
Mahibadhoo,MV,82.15,100,77,26.69,3.78,72.97
Severo-Kuril'sk,RU,51.96,100,87,11.56,50.68,156.12
Luwuk,ID,78.03,63,77,6.29,-0.95,122.79
Khatanga,RU,51.8,98,78,2.62,71.97,102.5
Beringovskiy,RU,45.14,58,78,15.57,63.05,179.32
Yerbogachën,RU,53.87,68,80,0.92,61.28,108.01
Cairns,AU,64.4,20,77,9.17,-16.92,145.77
Seoul,KR,78.8,90,83,5.82,37.57,126.98
Bemidji,US,73.0,40,52,16.11,47.47,-94.88
Tabuk,PH,76.75,5,82,3.62,17.42,121.44
Constitución,CL,53.38,78,88,7.74,-35.33,-72.42
Chui,UY,66.99,96,83,7.45,-33.7,-53.46
Gijón,ES,68.0,90,93,2.24,43.54,-5.66
Thompson,CA,75.2,75,41,9.17,55.74,-97.86
Souillac,MU,68.0,75,77,14.99,-20.52,57.52
Guerrero Negro,MX,77.29,4,63,17.92,27.98,-114.06
São João da Barra,BR,70.56,0,87,11.1,-21.64,-41.05
Hambantota,LK,79.23,85,83,7.07,6.12,81.12
Kaitangata,NZ,46.99,97,74,5.99,-46.28,169.85
Arraial do Cabo,BR,71.19,0,84,23.0,-22.97,-42.03
Fes,MA,86.0,14,45,10.29,34.04,-5.0
New Norfolk,AU,45.0,78,78,5.99,-42.78,147.06
Berbera,SO,87.53,1,45,21.0,10.44,45.01
Mataura,NZ,39.0,90,83,3.0,-46.19,168.86
Turukhansk,RU,56.52,100,64,5.95,65.82,87.98
Bredasdorp,ZA,55.4,4,93,0.69,-34.53,20.04
Laas,IT,60.8,20,72,3.36,46.62,10.7
Snezhnogorsk,RU,57.2,8,87,9.42,69.19,33.25
Bontang,ID,77.14,7,88,5.41,0.13,117.5
Virginia Beach,US,96.01,75,59,6.93,36.85,-75.98
Buluang,PH,78.71,99,84,1.45,13.31,123.34
Las Mercedes,VE,76.73,53,92,2.91,9.11,-66.4
Meulaboh,ID,78.22,97,85,4.56,4.14,96.13
Hermanus,ZA,53.01,3,96,3.0,-34.42,19.23
Te Anau,NZ,45.81,100,85,1.68,-45.42,167.72
Taveta,KE,63.93,56,79,6.22,-3.4,37.67
Cockburn Town,TC,84.2,40,74,18.34,21.46,-71.14
Sitka,US,55.4,90,100,8.05,57.05,-135.33
Muravlenko,RU,52.68,94,83,20.49,63.79,74.52
Sakakah,SA,93.2,0,9,11.41,29.97,40.21
Bambous Virieux,MU,68.0,75,77,14.99,-20.34,57.76
Upernavik,GL,49.46,64,54,7.4,72.79,-56.15
Touros,BR,77.0,40,88,4.7,-5.2,-35.46
Nueva Gerona,CU,86.38,98,59,4.41,21.88,-82.8
Eugene,US,90.0,20,29,12.75,44.05,-123.09
Cidreira,BR,66.33,57,78,9.89,-30.18,-50.21
Yellowknife,CA,71.6,75,56,10.29,62.46,-114.35
Ust-Nera,RU,60.73,100,63,4.45,64.57,143.2
Dawlatabad,AF,78.93,0,17,6.8,36.41,64.91
Vargashi,RU,69.87,63,75,2.59,55.36,65.85
Nikolskoye,RU,62.6,5,77,4.47,59.7,30.79
Barrow,US,37.4,40,74,12.75,71.29,-156.79
Am Timan,TD,72.05,100,91,8.21,11.03,20.28
Aklavik,CA,50.0,75,66,2.24,68.22,-135.01
Marzuq,YE,78.13,28,50,2.15,14.4,46.47
Kungurtug,RU,51.21,0,50,1.32,50.6,97.52
Yulara,AU,53.6,90,71,10.29,-25.24,130.99
Tasiilaq,GL,50.0,0,76,9.17,65.61,-37.64
Berlevåg,NO,52.36,100,88,7.0,70.86,29.09
College,US,72.0,75,56,3.36,64.86,-147.8
Keti Bandar,PK,85.93,89,78,20.42,24.14,67.45
Liusha,CN,64.24,97,100,1.83,27.21,108.59
Bubaque,GW,80.17,100,83,17.96,11.28,-15.83
Rovereto,IT,71.01,23,76,1.03,45.89,11.04
Olafsvik,IS,48.27,21,79,6.53,64.89,-23.71
Kenitra,MA,69.8,40,94,6.93,34.26,-6.58
Ilulissat,GL,53.6,91,46,2.24,69.22,-51.1
Mossamedes,AO,67.46,0,73,7.02,-15.2,12.15
Todos Santos,MX,82.0,5,73,4.0,23.45,-110.22
Lucapa,AO,59.45,0,38,3.47,-8.42,20.74
Machinga,MW,55.98,1,85,2.8,-15.17,35.3
Maragogi,BR,74.37,52,87,12.12,-9.01,-35.22
Saint-Augustin,CA,71.17,55,61,11.05,51.23,-58.65
Kostino,RU,59.49,96,95,9.37,58.91,53.27
Los Llanos de Aridane,ES,78.01,0,78,14.99,28.66,-17.92
Trat,TH,76.91,100,88,1.9,12.5,102.5
Talnakh,RU,48.2,94,81,15.66,69.49,88.4
Juegang,CN,73.67,98,95,4.14,32.32,121.19
Nsanje,MW,60.46,1,90,3.09,-16.92,35.26
Yārāda,IN,82.4,40,88,4.7,17.65,83.27
Ballina,AU,62.01,0,100,7.65,-28.87,153.57
Kabanjahe,ID,77.0,40,100,2.24,3.1,98.49
Hamilton,US,73.4,40,100,11.41,39.18,-84.53
Chumikan,RU,53.92,100,95,11.43,54.72,135.31
Pokhara,NP,71.15,99,85,1.54,28.23,83.98
Chokurdakh,RU,72.93,67,44,17.31,70.63,147.92
Esim,GH,75.02,41,92,6.13,4.87,-2.24
Dakar,SN,80.6,20,88,4.7,14.69,-17.44
Mahajanga,MG,71.6,20,49,12.75,-15.72,46.32
Saint George,US,107.01,1,7,12.75,37.1,-113.58
Sheregesh,RU,52.9,40,82,2.55,52.92,87.99
Sørland,NO,55.11,68,85,12.24,67.67,12.69
Hirara,JP,84.2,40,83,6.93,24.8,125.28
Vaini,TO,66.2,90,100,4.7,-21.2,-175.2
Aasiaat,GL,45.63,98,66,7.14,68.71,-52.87
Castro,BR,58.01,21,90,3.53,-24.79,-50.01
Mahébourg,MU,68.0,75,77,14.99,-20.41,57.7
Buchanan,LR,77.0,75,94,10.29,5.88,-10.05
Monrovia,LR,77.0,75,94,11.12,6.3,-10.8
Sa Kaeo,TH,76.71,100,93,2.75,13.81,102.07
Ancud,CL,48.99,20,100,6.93,-41.87,-73.82
Brewster,US,87.8,1,55,12.75,41.4,-73.62
Kroya,ID,74.82,45,88,6.4,-7.63,109.25
Tancheng,CN,78.24,99,93,1.59,27.44,115.5
Berezovyy,RU,71.51,92,82,2.68,51.67,135.7
Ahipara,NZ,61.95,68,80,4.61,-35.17,173.17
High Rock,BS,84.2,40,79,11.41,26.62,-78.28
West Wendover,US,96.8,1,11,9.17,40.74,-114.07
Alofi,NU,78.8,100,74,12.75,-19.06,-169.92
Kieta,PG,83.71,0,67,4.88,-6.22,155.63
Porto-Novo,BJ,77.0,40,94,6.93,6.5,2.6
Saint-François,FR,63.0,0,77,3.36,46.42,3.91
Vila do Maio,CV,78.8,75,78,12.75,15.13,-23.22
Jiuquan,CN,72.16,97,21,1.83,39.74,98.52
Coahuayana Viejo,MX,82.4,75,69,11.41,18.73,-103.68
Nome,US,57.2,75,62,9.17,64.5,-165.41
Borogontsy,RU,75.81,70,70,6.64,62.67,131.17
Saskylakh,RU,56.97,38,67,10.25,71.92,114.08
Hasaki,JP,75.99,75,94,8.05,35.73,140.83
Karasburg,NA,58.86,0,29,11.45,-28.02,18.75
Muaná,BR,79.39,100,74,7.11,-1.53,-49.22
Aden,YE,86.36,49,68,20.94,12.78,45.04
Sakaiminato,JP,80.6,75,88,2.24,35.55,133.23
São Luiz Gonzaga,BR,67.5,0,84,8.01,-28.41,-54.96
Goundam,ML,91.45,7,42,1.39,16.41,-3.67
Mawlaik,MM,76.98,100,94,2.26,23.63,94.42
Tautira,PF,80.6,75,69,4.7,-17.73,-149.15
Eureka,US,68.0,10,79,7.0,40.8,-124.16
Auch,FR,73.99,0,55,2.3,43.65,0.58
Saint Paul Harbor,US,57.2,90,87,10.29,57.79,-152.41
Ozark,US,91.0,23,49,1.01,37.02,-93.21
Kachug,RU,49.17,1,69,3.38,53.96,105.88
San Pedro de Lloc,PE,63.14,11,79,14.99,-7.43,-79.51
Ulladulla,AU,52.0,0,53,11.41,-35.35,150.47
Atambua,ID,68.54,5,79,5.01,-9.11,124.89
Rāmpura,IN,82.49,57,76,10.16,30.25,75.23
Poopó,BO,48.0,0,41,5.5,-18.37,-66.97
Lebu,CL,51.49,1,90,12.59,-37.62,-73.65
Bambanglipuro,ID,75.02,42,89,7.0,-7.95,110.28
Bukene,TZ,60.67,3,58,5.75,-4.23,32.88
Eyl,SO,79.18,92,64,24.67,7.98,49.82
Helong,CN,63.99,100,91,1.79,42.54,129.0
Jaqué,PA,81.19,100,82,4.99,7.52,-78.17
Linxia Chengguanzhen,CN,56.41,45,64,2.82,35.6,103.21
Ubinskoye,RU,65.28,67,93,6.33,55.31,79.68
Petropavlovka,RU,52.21,4,64,2.08,50.61,105.32
Fort Nelson,CA,73.4,75,43,11.41,58.81,-122.7
Montgomery,US,96.8,20,44,4.7,39.15,-77.2
Gemeente Wageningen,NL,61.0,90,93,8.05,51.97,5.67
Kozhva,RU,49.15,3,94,0.89,65.11,57.05
Lüderitz,NA,71.6,0,26,11.41,-26.65,15.16
Comodoro Rivadavia,AR,42.8,90,100,14.99,-45.87,-67.5
Doha,QA,97.0,21,75,4.7,25.29,51.53
Southern Pines,US,95.0,90,53,4.7,35.17,-79.39
Angoche,MZ,70.84,1,82,9.82,-16.23,39.91
Zabaykal'sk,RU,52.23,0,83,11.56,49.63,117.32
Kruisfontein,ZA,52.77,0,40,4.85,-34.0,24.73
Lorengau,PG,83.82,76,70,9.48,-2.02,147.27
Broome,US,73.99,20,83,8.05,42.25,-75.83
Nanortalik,GL,48.94,3,75,7.18,60.14,-45.24
Camacha,PT,69.8,20,77,9.17,33.08,-16.33
Lodja,CD,71.37,93,46,1.57,-3.48,23.43
Aripuanã,BR,82.26,38,46,2.37,-9.17,-60.63
Valdepeñas,ES,82.99,35,20,1.01,38.76,-3.38
Hithadhoo,MV,83.52,100,77,16.37,-0.6,73.08
Prieska,ZA,48.78,0,39,1.1,-29.66,22.75
Salalah,OM,80.6,75,88,4.7,17.02,54.09
Wangou,CN,61.65,100,98,2.19,42.06,126.91
Tahe,CN,62.56,100,95,6.15,52.33,124.73
San Juan del Sur,NI,82.4,40,83,17.22,11.25,-85.87
Kharan,PK,83.28,1,61,11.48,28.58,65.42
Hue,VN,78.8,20,83,4.7,16.47,107.6
San Quintín,MX,77.77,0,53,19.62,30.48,-115.95
El Dorado,US,93.2,1,52,5.82,33.21,-92.67
Lavrentiya,RU,50.4,66,62,10.0,65.58,-171.0
Mount Gambier,AU,44.6,40,93,6.93,-37.83,140.77
Takoradze,GH,75.07,7,91,6.82,4.88,-1.76
Toora-Khem,RU,50.54,0,69,1.34,52.47,96.11
Portland,US,91.0,20,40,10.29,45.52,-122.68
Ponta do Sol,PT,71.6,20,64,6.93,32.67,-17.1
General Roca,AR,51.8,72,87,3.36,-39.03,-67.58
Praia,CV,78.8,75,78,12.75,14.92,-23.51
Uray,RU,61.2,36,78,11.86,60.12,64.78
Vilyuysk,RU,60.33,100,91,9.71,63.76,121.62
Yantal',RU,50.56,0,76,1.86,56.85,105.25
Lompoc,US,71.01,6,64,16.11,34.64,-120.46
Qandala,SO,86.32,53,57,8.16,11.47,49.87
Kahului,US,87.8,20,55,27.51,20.89,-156.47
Muhos,FI,59.0,62,87,2.24,64.81,25.99
Saint John,CA,64.0,90,100,12.75,45.27,-66.07
Necochea,AR,52.0,76,95,8.01,-38.55,-58.74
Tateyama,JP,75.2,75,94,1.12,34.98,139.87
Pevek,RU,46.87,0,58,5.14,69.7,170.31
Esperance,AU,46.4,90,87,5.82,-33.87,121.9
Cabo San Lucas,MX,96.01,20,33,21.92,22.89,-109.91
Dalvik,IS,48.2,40,76,10.29,65.97,-18.53
Kitimat,CA,72.0,69,64,1.01,54.05,-128.65
Dingle,PH,79.0,63,85,3.65,11.0,122.67
Samaná,DO,82.4,75,83,4.7,19.21,-69.34
Ostrovnoy,RU,61.88,0,72,14.52,68.05,39.51
Port-Cartier,CA,71.01,75,77,11.41,50.03,-66.87
Yar-Sale,RU,48.18,0,82,8.66,66.83,70.83
São José de Piranhas,BR,71.65,38,77,10.58,-7.12,-38.5
Santa Fe,AR,66.0,68,75,7.0,-31.63,-60.7
Usogorsk,RU,52.59,0,83,4.47,63.41,48.69
Velvary,CZ,64.0,95,93,5.82,50.28,14.24
Basti,IN,78.39,100,96,5.68,26.8,82.72
Nacozari,MX,96.01,21,54,11.01,25.34,-108.26
Bengkulu,ID,75.4,46,91,5.06,-3.8,102.27
Yāval,IN,79.61,100,82,10.94,21.17,75.7
Kamaishi,JP,69.71,90,87,1.81,39.27,141.88
Gamba,GA,72.77,76,82,5.35,-2.65,10.0
Rasrā,IN,80.37,100,91,5.41,25.85,83.85
Tuatapere,NZ,39.0,96,83,3.0,-46.13,167.68
Vrangel',RU,66.38,100,85,17.34,42.73,133.08
Dire Dawa,ET,68.72,3,60,21.65,9.59,41.87
Moranbah,AU,63.7,34,66,6.2,-22.0,148.05
Kaoma,ZM,48.24,0,78,6.08,-14.78,24.8
Ibotirama,BR,69.94,22,60,5.44,-12.19,-43.22
Dhārchula,IN,68.4,57,75,1.59,29.85,80.53
Buraidah,SA,95.0,8,23,9.17,26.33,43.98
Sola,VU,78.8,90,83,6.93,-13.88,167.55
