City,Cloudiness,Country,Date,Humidity,Max Temperature,Latitude,Longitude,Wind Speed
Qaanaaq,99,GL,1970-01-01 00:00:01.595199703,69,47.37,77.48,-69.36,1.43
Kiryat Gat,0,IL,1970-01-01 00:00:01.595199915,67,78.01,31.61,34.76,1.1
Okitipupa,100,NG,1970-01-01 00:00:01.595199915,93,74.46,6.5,4.78,2.33
Chimoio,20,MZ,1970-01-01 00:00:01.595199915,100,55.4,-19.12,33.48,4.7
Albany,50,US,1970-01-01 00:00:01.595199902,54,93.0,42.6,-73.97,4.36
Faanui,71,PF,1970-01-01 00:00:01.595199916,83,77.34,-16.48,-151.75,20.67
East London,0,ZA,1970-01-01 00:00:01.595199916,65,59.92,-33.02,27.91,7.52
Karratha,0,AU,1970-01-01 00:00:01.595199887,69,61.48,-20.74,116.85,11.56
Bystryy Istok,65,RU,1970-01-01 00:00:01.595199916,89,57.34,52.37,84.39,3.83
Butaritari,75,KI,1970-01-01 00:00:01.595199916,77,83.44,3.07,172.79,15.3
Kattivākkam,40,IN,1970-01-01 00:00:01.595199916,88,80.6,13.22,80.32,2.24
Jalu,36,LY,1970-01-01 00:00:01.595199916,46,79.99,29.03,21.55,10.74
Ushuaia,0,AR,1970-01-01 00:00:01.595199703,86,28.4,-54.8,-68.3,8.05
George Town,40,MY,1970-01-01 00:00:01.595199649,100,78.8,5.41,100.34,4.7
Bethel,1,US,1970-01-01 00:00:01.595199917,55,87.8,41.37,-73.41,12.75
Bluff,81,NZ,1970-01-01 00:00:01.595199917,83,39.0,-46.6,168.33,3.0
Carnarvon,0,AU,1970-01-01 00:00:01.595199757,87,48.2,-24.87,113.63,8.05
São Filipe,86,CV,1970-01-01 00:00:01.595199917,82,77.27,14.9,-24.5,7.72
Abéché,86,TD,1970-01-01 00:00:01.595199917,72,78.17,13.83,20.83,19.48
Fortuna,20,US,1970-01-01 00:00:01.595199918,72,70.0,40.6,-124.16,13.87
Rikitea,49,PF,1970-01-01 00:00:01.595199918,65,68.68,-23.12,-134.97,12.3
Adrar,33,MR,1970-01-01 00:00:01.595199713,20,96.22,20.5,-10.07,6.33
Bonavista,66,CA,1970-01-01 00:00:01.595199918,76,60.31,48.65,-53.11,0.58
Zaysan,99,KZ,1970-01-01 00:00:01.595199918,49,70.95,47.47,84.87,5.79
Kangaatsiaq,79,GL,1970-01-01 00:00:01.595199834,62,50.88,68.31,-53.46,11.43
Manta,20,EC,1970-01-01 00:00:01.595199918,73,77.0,-0.95,-80.73,12.75
Punta Arenas,75,CL,1970-01-01 00:00:01.595199918,69,35.6,-53.15,-70.92,6.93
Hobart,75,AU,1970-01-01 00:00:01.595199694,57,48.2,-42.88,147.33,14.99
Atuona,15,PF,1970-01-01 00:00:01.595199919,74,79.57,-9.8,-139.03,14.83
Norman Wells,75,CA,1970-01-01 00:00:01.595199919,63,64.4,65.28,-126.83,5.82
Bathsheba,20,BB,1970-01-01 00:00:01.595199721,66,84.2,13.22,-59.52,13.87
Hilo,20,US,1970-01-01 00:00:01.595199919,62,84.2,19.73,-155.09,11.41
Busselton,43,AU,1970-01-01 00:00:01.595199919,77,46.99,-33.65,115.33,7.2
Massagno,75,CH,1970-01-01 00:00:01.595199919,73,69.8,46.02,8.95,2.24
Cherskiy,0,RU,1970-01-01 00:00:01.595199919,43,71.44,68.75,161.3,5.91
Antofagasta,75,CL,1970-01-01 00:00:01.595199724,76,57.2,-23.65,-70.4,10.29
Dikson,100,RU,1970-01-01 00:00:01.595199701,96,40.93,73.51,80.55,12.08
Øksfjord,75,NO,1970-01-01 00:00:01.595199920,82,57.2,70.24,22.35,21.92
Ribeira Grande,72,PT,1970-01-01 00:00:01.595199920,76,69.28,38.52,-28.7,4.65
Saldanha,0,ZA,1970-01-01 00:00:01.595199920,87,48.2,-33.01,17.94,3.36
Vardø,100,NO,1970-01-01 00:00:01.595199920,95,54.25,70.37,31.11,9.51
Dillon,1,US,1970-01-01 00:00:01.595199920,55,93.0,34.42,-79.37,4.7
Pacific Grove,1,US,1970-01-01 00:00:01.595199920,64,70.0,36.62,-121.92,12.75
Ryabovo,26,RU,1970-01-01 00:00:01.595199921,77,62.6,59.4,31.13,4.47
Puerto Ayora,96,EC,1970-01-01 00:00:01.595199707,89,71.01,-0.74,-90.35,5.01
Tuktoyaktuk,75,CA,1970-01-01 00:00:01.595199921,75,46.4,69.45,-133.04,5.82
Sampit,23,ID,1970-01-01 00:00:01.595199921,97,73.76,-2.53,112.95,1.88
Avarua,77,CK,1970-01-01 00:00:01.595199921,88,71.6,-21.21,-159.78,19.46
Kirakira,11,SB,1970-01-01 00:00:01.595199921,75,82.47,-10.45,161.92,7.31
Kapaa,90,US,1970-01-01 00:00:01.595199921,74,84.99,22.08,-159.32,14.99
Hong Kong,100,HK,1970-01-01 00:00:01.595199921,79,84.0,22.29,114.16,9.48
Nānākuli,40,US,1970-01-01 00:00:01.595199922,49,89.6,21.39,-158.15,10.29
Gilgit,6,PK,1970-01-01 00:00:01.595199922,40,73.51,35.92,74.31,0.43
Kavieng,29,PG,1970-01-01 00:00:01.595199702,74,83.23,-2.57,150.8,9.69
Qaqortoq,6,GL,1970-01-01 00:00:01.595199922,38,60.8,60.72,-46.03,6.93
Asău,100,RO,1970-01-01 00:00:01.595199922,96,60.01,46.43,26.4,3.0
Amuntai,65,ID,1970-01-01 00:00:01.595199922,96,73.38,-2.42,115.25,1.43
Port Alfred,0,ZA,1970-01-01 00:00:01.595199705,71,60.24,-33.59,26.89,6.98
Kānt,100,IN,1970-01-01 00:00:01.595199923,72,85.75,27.8,79.8,4.88
Mar del Plata,90,AR,1970-01-01 00:00:01.595199923,100,52.0,-38.0,-57.56,13.87
Jamestown,20,US,1970-01-01 00:00:01.595199673,94,75.99,42.1,-79.24,10.29
Cape Town,40,ZA,1970-01-01 00:00:01.595199682,93,60.01,-33.93,18.42,9.17
Port Elizabeth,0,ZA,1970-01-01 00:00:01.595199923,100,53.6,-33.92,25.57,3.36
Acajutla,40,SV,1970-01-01 00:00:01.595199742,46,91.4,13.59,-89.83,2.24
Khovd,19,MN,1970-01-01 00:00:01.595199924,64,63.36,48.01,91.64,0.87
Marawi,88,PH,1970-01-01 00:00:01.595199924,89,75.0,8.0,124.29,4.0
Buala,55,SB,1970-01-01 00:00:01.595199924,71,83.52,-8.14,159.59,5.44
Digby,100,CA,1970-01-01 00:00:01.595199626,92,66.99,44.62,-65.77,8.99
Airai,19,TL,1970-01-01 00:00:01.595199924,55,57.42,-8.93,125.41,2.71
Saint-Philippe,40,RE,1970-01-01 00:00:01.595199924,72,64.4,-21.36,55.77,4.7
Provideniya,75,RU,1970-01-01 00:00:01.595199925,66,55.4,64.38,-173.3,8.95
Kroonstad,0,ZA,1970-01-01 00:00:01.595199925,39,47.03,-27.65,27.23,5.91
Codrington,72,AU,1970-01-01 00:00:01.595199925,76,51.35,-38.27,141.97,15.41
Kāman,99,IN,1970-01-01 00:00:01.595199925,67,87.73,27.65,77.27,8.66
Waddān,0,LY,1970-01-01 00:00:01.595199925,56,77.41,29.16,16.14,16.04
Mahibadhoo,100,MV,1970-01-01 00:00:01.595199925,77,82.15,3.78,72.97,26.69
Severo-Kuril'sk,100,RU,1970-01-01 00:00:01.595199925,87,51.96,50.68,156.12,11.56
Luwuk,63,ID,1970-01-01 00:00:01.595199925,77,78.03,-0.95,122.79,6.29
Khatanga,98,RU,1970-01-01 00:00:01.595199926,78,51.8,71.97,102.5,2.62
